eulophonotus myrmeleon;eulophonotus myrmeleon
plejobolus arenarius;plejobolus arenarius
macropolepia sp;macropolepia sp
myconita plutelliformis;myconita plutelliformis
epinephelus morio;epinephelus morio
herimosa albovenata;herimosa albovenata
parawaldeckia kidderi;parawaldeckia kidderi
remora remora;remora remora
mycena renati;mycena renati
chlorophyceae;chlorophyceae
chilomycterus schoepfii;chilomycterus schoepfii
diplodina;diplodina
daedaleopsis confragosa;daedaleopsis confragosa
aponoea;aponoea
blastopsylla octosetulae;blastopsylla octosetulae
populus canadensis;populus canadensis
tamias townsendii;tamias townsendii
epizoanthus cutressi;epizoanthus cutressi
epitonium albidum;epitonium albidum
leucosticte atrata;leucosticte atrata
beyeria;beyeria
gobiosoma robustum;gobiosoma robustum
dendroctonus ponderosae;dendroctonus ponderosae
calepitrimerus russoi;calepitrimerus russoi
synthetic material;synthetic material
arteurotia tractipennis;arteurotia tractipennis
trochila laurocerasi;trochila laurocerasi
machaerina;machaerina
dindica polyphaenaria;dindica polyphaenaria
tryblidiopsis pinastri;tryblidiopsis pinastri
colomerus;colomerus
mycale acerata;mycale acerata
spongipellis spumeus;spongipellis spumeus
hydrochoreutes;hydrochoreutes
agromyza alnivora;agromyza alnivora
lumbrineris magalhaensis;lumbrineris magalhaensis
mallophora fautrix;mallophora fautrix
cardamine flexuosa;cardamine flexuosa
sacchiphantes abietis;sacchiphantes abietis
spizella passerina;spizella passerina
prunus dulcis;prunus dulcis
aacanthocnema huegelianae;aacanthocnema huegelianae
castilleja lacera;castilleja lacera
alabama;alabama
melanconium stromaticum;melanconium stromaticum
glossocephalus milneedwardsi;glossocephalus milneedwardsi
recurvirostra americana;recurvirostra americana
anomalaphis casimiri;anomalaphis casimiri
monotoma picipes;monotoma picipes
pseudopleuronectes americanus;pseudopleuronectes americanus
eucereon aeolum;eucereon aeolum
neohesperilla crocea;neohesperilla crocea
cassia roxburghii;cassia roxburghii
tenuipetiolus;tenuipetiolus
hypolimnas anthedon;hypolimnas anthedon
pachytychius haematocephalus;pachytychius haematocephalus
cryptocephalus guttulatus;cryptocephalus guttulatus
aegle marmelos;aegle marmelos
muxta;muxta
lagenorhynchus australis;lagenorhynchus australis
glycaspis wanbiensis;glycaspis wanbiensis
pristipomoides aquilonaris;pristipomoides aquilonaris
euaspa;euaspa
arrhis phyllonyx;arrhis phyllonyx
capronnieria galesus;capronnieria galesus
cilix asiatica;cilix asiatica
scopelodes unicolor;scopelodes unicolor
camarosporium tiliae;camarosporium tiliae
staurosirella leptostauron;staurosirella leptostauron
laetinaevia pustulata;laetinaevia pustulata
triticum;triticum
comostola iodioides;comostola iodioides
papias subcostulata;papias subcostulata
heterostichus rostratus;heterostichus rostratus
nyctiphanes couchi;nyctiphanes couchi
alburnus alburnus;alburnus alburnus
serendipita orliensis;serendipita orliensis
anomia;anomia
phascolion strombus;phascolion strombus
geitoneura klugii;geitoneura klugii
myodes gapperi;myodes gapperi
phytomyza clematidis;phytomyza clematidis
ipomoea cairica;ipomoea cairica
conopobathra gravissima;conopobathra gravissima
buteo nitidus;buteo nitidus
dryas;dryas
anthochaera carunculata;anthochaera carunculata
salmoneus;salmoneus
charaxes baileyi;charaxes baileyi
trichia botrytis;trichia botrytis
cissampelos;cissampelos
eulithis;eulithis
glossosoma;glossosoma
encoelia fuckelii;encoelia fuckelii
moronidae;moronidae
millepora squarrosa;millepora squarrosa
metarranthis amyrisaria;metarranthis amyrisaria
scrobipalpula diffluella;scrobipalpula diffluella
microspora;microspora
eutychide subcordata;eutychide subcordata
pseudosagitta gazellae;pseudosagitta gazellae
phasis thero;phasis thero
bisporella fuscocincta;bisporella fuscocincta
chamaea fasciata;chamaea fasciata
erebia epistygne;erebia epistygne
crocodylus porosus;crocodylus porosus
parochromolopis;parochromolopis
poliocitellus franklinii;poliocitellus franklinii
hermodice carunculata;hermodice carunculata
tetrao urogallus;tetrao urogallus
ananas comosus;ananas comosus
apodytes;apodytes
amblopala avidiena;amblopala avidiena
episothalma robustaria;episothalma robustaria
lebia grandis;lebia grandis
aristotelia urbaurea;aristotelia urbaurea
ablabesmyia;ablabesmyia
podocopa;podocopa
mollisina acerina;mollisina acerina
phyllanthus reticulatus;phyllanthus reticulatus
canna tuerckheimii;canna tuerckheimii
lixus;lixus
antigius butleri;antigius butleri
mecomma (mecomma) ambulans;mecomma (mecomma) ambulans
epitrix cucumeris;epitrix cucumeris
hippotion eson;hippotion eson
spirographis spallanzani;spirographis spallanzani
phialocephala truncata;phialocephala truncata
gnomonia fimbriata;gnomonia fimbriata
peromyscus truei;peromyscus truei
xeromphalina campanella;xeromphalina campanella
phyllotis darwini;phyllotis darwini
urbanus procne;urbanus procne
anthrenocerus confertus;anthrenocerus confertus
gonioctena olivacea;gonioctena olivacea
consul panariste;consul panariste
saissetia;saissetia
soleirolia;soleirolia
leucogyrophana mollusca;leucogyrophana mollusca
phytolacca octandra;phytolacca octandra
spermophilus franklinii;spermophilus franklinii
chiroteuthis mega;chiroteuthis mega
gladiodiplosis frenelae;gladiodiplosis frenelae
cardamine pratensis;cardamine pratensis
myoxocephalus jaok;myoxocephalus jaok
tetheella fluctuosa;tetheella fluctuosa
donacia crassipes;donacia crassipes
eupatorium inulifolium;eupatorium inulifolium
battus crassus;battus crassus
dacrymyces ovisporus;dacrymyces ovisporus
dermea tulasnei;dermea tulasnei
camptopleura impressus;camptopleura impressus
bettongia lesueur;bettongia lesueur
larus atricilla;larus atricilla
armina loveni;armina loveni
nectria flavoviridis;nectria flavoviridis
passiflora bicornis;passiflora bicornis
anthela varia;anthela varia
amerila leucoptera;amerila leucoptera
cercyon unipunctatus;cercyon unipunctatus
liriomyza eupatorii;liriomyza eupatorii
gerbathodes;gerbathodes
emerita analoga;emerita analoga
scoloplos;scoloplos
stenurella melanura;stenurella melanura
culicoides rabauli;culicoides rabauli
neopromachus;neopromachus
galeus melastomus;galeus melastomus
lachnum caricis;lachnum caricis
castiarina garnettensis;castiarina garnettensis
anthela acuta;anthela acuta
corgatha;corgatha
gloxinia;gloxinia
pogonatherum;pogonatherum
brachypterolus linariae;brachypterolus linariae
saenura;saenura
hercospora tiliae;hercospora tiliae
archips fuscocupreanus;archips fuscocupreanus
chrysophyllum boukokoense;chrysophyllum boukokoense
cordia sebestena;cordia sebestena
tylophora indica;tylophora indica
micropeziza cornea;micropeziza cornea
phyciodes pallida;phyciodes pallida
clinidae;clinidae
heliopetes laviana;heliopetes laviana
calliandra parvifolia;calliandra parvifolia
poecilus;poecilus
dendrophthoe;dendrophthoe
asclepias lanceolata;asclepias lanceolata
epicrates;epicrates
foetorepus agassizii;foetorepus agassizii
aeshna juncea;aeshna juncea
geitoneura acantha;geitoneura acantha
salpinctes obsoletus;salpinctes obsoletus
achnanthes inflata elata;achnanthes inflata elata
colias marcopolo;colias marcopolo
mysidopsis angusta;mysidopsis angusta
dendrolagus lumholtzi;dendrolagus lumholtzi
opsirhina albigutta;opsirhina albigutta
pseudojana incandescens;pseudojana incandescens
bassozetus;bassozetus
bungarus candidus;bungarus candidus
vanessa annabella;vanessa annabella
camarosporium caprifolii;camarosporium caprifolii
periconia atra;periconia atra
parnassius charltonius;parnassius charltonius
passiflora caerulea;passiflora caerulea
pennisetum;pennisetum
acrocercops diatonica;acrocercops diatonica
euchlaena tigrinaria;euchlaena tigrinaria
vicia villosa;vicia villosa
glycaspis mesicola;glycaspis mesicola
bunolagus monticularis;bunolagus monticularis
cardellina pusilla;cardellina pusilla
decabrachia;decabrachia
formica schaufussi;formica schaufussi
amauris echeria;amauris echeria
cerapus;cerapus
mycosphaerella tingens;mycosphaerella tingens
turdus olivaceus;turdus olivaceus
pristiphora (pristiphora) geniculata;pristiphora (pristiphora) geniculata
agromyza anthracina;agromyza anthracina
terellia winthemi;terellia winthemi
eulamprotes wilkella;eulamprotes wilkella
petrelaea;petrelaea
trechispora clancularis;trechispora clancularis
saccoglossus pusillus;saccoglossus pusillus
colotis antevippe;colotis antevippe
spergularia;spergularia
psen;psen
flagelloscypha punctiformis;flagelloscypha punctiformis
renicola;renicola
aphloia theiformis;aphloia theiformis
celosia argentea;celosia argentea
capparis heydeana;capparis heydeana
aphelandra storkii;aphelandra storkii
eucalyptus dives;eucalyptus dives
orchamoplatus mammaeferus;orchamoplatus mammaeferus
lithacodia carneola;lithacodia carneola
melilotus indicus;melilotus indicus
entomoneis;entomoneis
castiarina inermis;castiarina inermis
septoria dolichospora;septoria dolichospora
vuilleminia comedens;vuilleminia comedens
memphis forreri;memphis forreri
paeonia;paeonia
cassipourea;cassipourea
bucculatrix albella;bucculatrix albella
fenella monilicornis;fenella monilicornis
parkia;parkia
bauhinia;bauhinia
chamaecyparis lawsoniana;chamaecyparis lawsoniana
mallotus mollissimus;mallotus mollissimus
liriomyza polygalae;liriomyza polygalae
xanthorhoe ferrugata;xanthorhoe ferrugata
anthostomella appendiculosa;anthostomella appendiculosa
croton capitatus;croton capitatus
heteronympha banksii;heteronympha banksii
pottsia laxiflora;pottsia laxiflora
merismopedia;merismopedia
stachytarpheta cayennensis;stachytarpheta cayennensis
correbidia terminalis;correbidia terminalis
theobroma cacao;theobroma cacao
diplatia tomentosa;diplatia tomentosa
ectoedemia contorta;ectoedemia contorta
junonia sophia;junonia sophia
mycena rorida;mycena rorida
proasellus meridianus;proasellus meridianus
arocatus aenescens;arocatus aenescens
conocephalus;conocephalus
drupadia theda;drupadia theda
swainsona galegifolia;swainsona galegifolia
parlatoria proteus;parlatoria proteus
ageratum;ageratum
glycaspis eremica;glycaspis eremica
venusia comptaria;venusia comptaria
deporaus (caenorhinus) mannerheimii;deporaus (caenorhinus) mannerheimii
plectropterus gambensis;plectropterus gambensis
cerithiopsis;cerithiopsis
aloeides dentatis;aloeides dentatis
eumida sanguinea;eumida sanguinea
leucaena;leucaena
liocarcinus marmoreus;liocarcinus marmoreus
calanoidia;calanoidia
anthostomella lugubris;anthostomella lugubris
loligo forbesii;loligo forbesii
amata;amata
benthonic invertebrates;benthonic invertebrates
anomala binotata;anomala binotata
passova gellias;passova gellias
dendrothele sasae;dendrothele sasae
serraniculus pumilio;serraniculus pumilio
pluteus atromarginatus;pluteus atromarginatus
scolex;scolex
cerrena unicolor;cerrena unicolor
zaus aurelii;zaus aurelii
oryza;oryza
terebellides stroemii;terebellides stroemii
laccophilus minutus;laccophilus minutus
junonia evarete;junonia evarete
lichenopeltella alpestris;lichenopeltella alpestris
yucca glauca;yucca glauca
hypolimnas deceptor;hypolimnas deceptor
hooks;hooks
chytridium oedogonii;chytridium oedogonii
protoperidinium depressum;protoperidinium depressum
taygete gallaegenitella;taygete gallaegenitella
calycellina rivelinensis;calycellina rivelinensis
halocynthia;halocynthia
gegenes;gegenes
cladocora arbuscula;cladocora arbuscula
stegastes;stegastes
calystegia;calystegia
perideridia bolanderi;perideridia bolanderi
spilopera debilis;spilopera debilis
pisaster;pisaster
pituophis catenifer catenifer;pituophis catenifer catenifer
metamysidopsis swifti;metamysidopsis swifti
corethrovalva;corethrovalva
calozodion;calozodion
xenaleyrodes artocarpi;xenaleyrodes artocarpi
tylospilus acutissimus;tylospilus acutissimus
anacampsis fragariella;anacampsis fragariella
phoma glomerata;phoma glomerata
rheumaptera prunivorata;rheumaptera prunivorata
cercis canadensis;cercis canadensis
dichomeris capnites;dichomeris capnites
cryptomycina pteridis;cryptomycina pteridis
isachne buettneri;isachne buettneri
castiarina flavosignata;castiarina flavosignata
coris aygula;coris aygula
lebertiidae;lebertiidae
hymenoscyphus repandus;hymenoscyphus repandus
globiceps (kelidocoris) flavomaculatus;globiceps (kelidocoris) flavomaculatus
codonellopsis;codonellopsis
crocodylus niloticus;crocodylus niloticus
glaucis hirsutus;glaucis hirsutus
legatus leucophaius;legatus leucophaius
diatoma fenestratum;diatoma fenestratum
blicca;blicca
balanites;balanites
ardozyga amblopis;ardozyga amblopis
bubo bubo;bubo bubo
nica flavilla;nica flavilla
senecio viscosus;senecio viscosus
pentanymphon antarcticum;pentanymphon antarcticum
miogryllus;miogryllus
satyrium saepium;satyrium saepium
liriodendron tulipifera;liriodendron tulipifera
eusarca confusaria;eusarca confusaria
monza alberti;monza alberti
ascochyta hordei var. europaea;ascochyta hordei var. europaea
declana;declana
pectinivalva tribulatrix;pectinivalva tribulatrix
pittosporum crassifolium;pittosporum crassifolium
issoria lathonia;issoria lathonia
aphis glycines;aphis glycines
egea inermis;egea inermis
charaxes guderiana;charaxes guderiana
sirexcipula kabatiana;sirexcipula kabatiana
epimecis;epimecis
crangonoidea;crangonoidea
alcis jubata;alcis jubata
sphaeronaema floccosum;sphaeronaema floccosum
vitis;vitis
myrianida;myrianida
massarina tetraploa;massarina tetraploa
fannia monilis nomen nudum;fannia monilis nomen nudum
juncus;juncus
sporisorium;sporisorium
xanthisthisa niveifrons;xanthisthisa niveifrons
stomiopeltis pinastri;stomiopeltis pinastri
acraea satis;acraea satis
trapezites heteromacula;trapezites heteromacula
tritoma angulata;tritoma angulata
helminthosporium velutinum;helminthosporium velutinum
thalictrum flavum;thalictrum flavum
rhinolophus euryale;rhinolophus euryale
echinops humilis;echinops humilis
thyasiridae;thyasiridae
satyrium sylvinus;satyrium sylvinus
eucalanus elongatus;eucalanus elongatus
betula nigra;betula nigra
viola beckwithii;viola beckwithii
selenaspidus articulatus;selenaspidus articulatus
temora;temora
deutzia;deutzia
tealia lofotensis;tealia lofotensis
melinna elisabethae;melinna elisabethae
phaeoseptoria airae;phaeoseptoria airae
salvelinus fontinalis;salvelinus fontinalis
cryptops leucopodus;cryptops leucopodus
lichanothrips metopus;lichanothrips metopus
calosphaeria dryina;calosphaeria dryina
hydrothassa hannoveriana;hydrothassa hannoveriana
elionurus muticus;elionurus muticus
chamaedaphne;chamaedaphne
colius colius;colius colius
mycena purpureofusca;mycena purpureofusca
fundulus confluentus;fundulus confluentus
pyrrhobaphus leucurus;pyrrhobaphus leucurus
sorghum arundinaceum;sorghum arundinaceum
colotis dissociatus;colotis dissociatus
eritrichium nanum;eritrichium nanum
salagena transversa;salagena transversa
lobaria;lobaria
carex shimidzensis;carex shimidzensis
pterygocythereis jonesi;pterygocythereis jonesi
ityorhoptrum verruculosum;ityorhoptrum verruculosum
acraea petraea;acraea petraea
cuscuta gronovii;cuscuta gronovii
tigrioides;tigrioides
acalypha paniculata;acalypha paniculata
dead wood;dead wood
dolerus (cyperolerus) anticus;dolerus (cyperolerus) anticus
lupinus caudatus;lupinus caudatus
mesophleps silacella;mesophleps silacella
scaphiopus holbrookii;scaphiopus holbrookii
heterotrophic microflagellates;heterotrophic microflagellates
aristolochia onoei;aristolochia onoei
navicula placentula;navicula placentula
trechispora hymenocystis;trechispora hymenocystis
pontania proxima;pontania proxima
jalmenus aridus;jalmenus aridus
epermenia insecurella;epermenia insecurella
hebe traversii;hebe traversii
megaleptoperla;megaleptoperla
anopyxis;anopyxis
aonidiella eremocitri;aonidiella eremocitri
arthropoda;arthropoda
monochroa lutulentella;monochroa lutulentella
nascio vetusta;nascio vetusta
orthotylus adenocarpi;orthotylus adenocarpi
micropsectra bidentata;micropsectra bidentata
spionidae;spionidae
potamochoerus larvatus;potamochoerus larvatus
graphium doson;graphium doson
cassidinidea lunifrons;cassidinidea lunifrons
phaeoscypha cladii;phaeoscypha cladii
dolerus (achaetoprion) ferrugatus;dolerus (achaetoprion) ferrugatus
araneae;araneae
pelargonium hybridum;pelargonium hybridum
scarus;scarus
melobasis vertebralis;melobasis vertebralis
maytenus thompsonii;maytenus thompsonii
liquidambar styraciflua;liquidambar styraciflua
polygonaceae;polygonaceae
pelecanoides;pelecanoides
elymnias hypermnestra;elymnias hypermnestra
pegomya;pegomya
chrysocercops;chrysocercops
rhododendron columbianum;rhododendron columbianum
euchaeta marina;euchaeta marina
pontophilus norvegicus;pontophilus norvegicus
drechslera fugax;drechslera fugax
pterotopteryx dodecadactyla;pterotopteryx dodecadactyla
theragra chalcogramma;theragra chalcogramma
synsepalum;synsepalum
appias lasti;appias lasti
halimolobos;halimolobos
anasimus latus;anasimus latus
pareronia ceylanica;pareronia ceylanica
charaxes aubyni;charaxes aubyni
populus tremula;populus tremula
xanthorhoe incursata;xanthorhoe incursata
cytospora carphosperma;cytospora carphosperma
sauris malaca;sauris malaca
rhus;rhus
pityogenes trepanatus;pityogenes trepanatus
bourreria succulenta;bourreria succulenta
psoralea pinnata;psoralea pinnata
ochlodes siva;ochlodes siva
graphops;graphops
manilkara obovata;manilkara obovata
dendroctonus valens;dendroctonus valens
psathyrella mucrocystis;psathyrella mucrocystis
monodictys paradoxa;monodictys paradoxa
adscita geryon;adscita geryon
plumbago;plumbago
anisodes samoana;anisodes samoana
naineris laevigata;naineris laevigata
longitarsus dorsalis;longitarsus dorsalis
syrastrena minor;syrastrena minor
doxocopa cyane;doxocopa cyane
kavinia alboviridis;kavinia alboviridis
goniadella;goniadella
clematis montana;clematis montana
filatima spurcella;filatima spurcella
phlyctochytrium planicorne;phlyctochytrium planicorne
mytilinidion gemmigenum;mytilinidion gemmigenum
phyllolyma rufa;phyllolyma rufa
strongylogaster filicis;strongylogaster filicis
scirtothrips australiae;scirtothrips australiae
tipula montium;tipula montium
paullinia cupana;paullinia cupana
isaurus tuberculatus;isaurus tuberculatus
argyreia;argyreia
myconita lipara;myconita lipara
dalea greggii;dalea greggii
carex flava agg.;carex flava agg.
nabis;nabis
labrus bergylta;labrus bergylta
mugilidae;mugilidae
diaspis boisduvali;diaspis boisduvali
cassinopsis ilicifolia;cassinopsis ilicifolia
trapezites iacchus;trapezites iacchus
hidari irava;hidari irava
muscidae;muscidae
ptilodon capucina;ptilodon capucina
spalgis lemolea;spalgis lemolea
fruit;fruit
enkianthus campanulatus;enkianthus campanulatus
peucetia viridans;peucetia viridans
urothoe;urothoe
acraea nohara;acraea nohara
baris aerea;baris aerea
pityophthorus lichtensteinii;pityophthorus lichtensteinii
zelandoperla fenestrata;zelandoperla fenestrata
plagiostoma inclinatum;plagiostoma inclinatum
loranthus cordifolius;loranthus cordifolius
asellota;asellota
irbisia;irbisia
subulispora britannica;subulispora britannica
cynips longiventris;cynips longiventris
eutetranychus orientalis;eutetranychus orientalis
coscinodiscus granii;coscinodiscus granii
baetis vernus;baetis vernus
lathyrus sativus;lathyrus sativus
anomalocardia cuneimeris;anomalocardia cuneimeris
calybites;calybites
aplochlora vivilaca;aplochlora vivilaca
diatraea;diatraea
darwinula;darwinula
hippoglossus hippoglossus;hippoglossus hippoglossus
pleustidae;pleustidae
phyllachora dactylidis;phyllachora dactylidis
chionodes notandella;chionodes notandella
stagonospora pini;stagonospora pini
neophoma graminella;neophoma graminella
dendrorycter marmaroides;dendrorycter marmaroides
wilsonia citrina;wilsonia citrina
heliopsis;heliopsis
livinstona;livinstona
xanthium spinosum;xanthium spinosum
taxillus;taxillus
hoplotarache;hoplotarache
apiognomonia errabunda;apiognomonia errabunda
chromatomyia scolopendri;chromatomyia scolopendri
phytomyza artemisivora;phytomyza artemisivora
buathra laborator;buathra laborator
dasychira plagiata;dasychira plagiata
austradapus nitens;austradapus nitens
myzus (nectarosiphon) ascalonicus;myzus (nectarosiphon) ascalonicus
artemisiospiza belli;artemisiospiza belli
lithariapteryx mirabilinella;lithariapteryx mirabilinella
ligustrum;ligustrum
bathylagus tenuis;bathylagus tenuis
prolita solutella;prolita solutella
hesperopsis alpheus;hesperopsis alpheus
ampharete;ampharete
chalara aotearoa;chalara aotearoa
agallia;agallia
elymus repens;elymus repens
calameuta filiformis;calameuta filiformis
rosellinia obliquata;rosellinia obliquata
sericosema wilsonensis;sericosema wilsonensis
peniophora violaceolivida;peniophora violaceolivida
chrysoritis aethon;chrysoritis aethon
hemerocampa leucostigma;hemerocampa leucostigma
paracalanus aculeatus;paracalanus aculeatus
sitona (sitona) suturalis;sitona (sitona) suturalis
leuconidae;leuconidae
cuatresia riparia;cuatresia riparia
stenothoe;stenothoe
monanthotaxis;monanthotaxis
porcellidium fimbriatum;porcellidium fimbriatum
erythrophleum africanum;erythrophleum africanum
polyommatus semiargus;polyommatus semiargus
eutypa spinosa;eutypa spinosa
croton schiedeanus;croton schiedeanus
autoba angulifera;autoba angulifera
chiroderma villosum;chiroderma villosum
ruellia brevifolia;ruellia brevifolia
mustelidae;mustelidae
stauroteuthis gilchristi;stauroteuthis gilchristi
hylastes ater;hylastes ater
restio;restio
anoeconeossa fuscipennis;anoeconeossa fuscipennis
lecanium;lecanium
diplodia buxi;diplodia buxi
castiarina acuminata;castiarina acuminata
sorghum drummondii;sorghum drummondii
pocillum cesatii;pocillum cesatii
streptanthus polygaloides;streptanthus polygaloides
calamagrostis canadensis;calamagrostis canadensis
eryngium;eryngium
archidendron hirsutum;archidendron hirsutum
calliostoma;calliostoma
pseudaulacaspis australis;pseudaulacaspis australis
haematera pyrame;haematera pyrame
parus;parus
bystropogon plumosus;bystropogon plumosus
dichomeris helianthemi;dichomeris helianthemi
lepiota bickhamensis;lepiota bickhamensis
kladothrips torus;kladothrips torus
pediobius eubius;pediobius eubius
ulocladium botrytis;ulocladium botrytis
homo sapiens;homo sapiens
glycaspis pilata;glycaspis pilata
diplodina strobi;diplodina strobi
pleurothecium recurvatum;pleurothecium recurvatum
pileanthus peduncularis;pileanthus peduncularis
chamerion angustifolium angustifolium;chamerion angustifolium angustifolium
trichoglossus haematodus;trichoglossus haematodus
lecaniodiscus;lecaniodiscus
apelles melanops;apelles melanops
guibourtia;guibourtia
epigynopteryx coffeae;epigynopteryx coffeae
dysaphis (dysaphis) anthrisci;dysaphis (dysaphis) anthrisci
cheiromycella microscopica;cheiromycella microscopica
pericopsis mooniana;pericopsis mooniana
littorina obtusata;littorina obtusata
lobatus gigas;lobatus gigas
corallus;corallus
waltheria;waltheria
vismia baccifera;vismia baccifera
diospyros abyssinica;diospyros abyssinica
carystus phorcus;carystus phorcus
anilara sulcipennis;anilara sulcipennis
toxoglossa;toxoglossa
ectoedemia septembrella;ectoedemia septembrella
livistona benthamii;livistona benthamii
verbesina alternifolia;verbesina alternifolia
hipparchia hansii;hipparchia hansii
cymbella;cymbella
ficus tinctoria;ficus tinctoria
rotalia;rotalia
coccothraustes vespertinus;coccothraustes vespertinus
antocha saxicola;antocha saxicola
anarsia molybdota;anarsia molybdota
erebia zapateri;erebia zapateri
racotis;racotis
serinus;serinus
leptostales crossii;leptostales crossii
phlebiella filicina;phlebiella filicina
kermes;kermes
retinia;retinia
arundo;arundo
lichmera incana incana;lichmera incana incana
carex oligosperma;carex oligosperma
diaporthe strumella;diaporthe strumella
pseudotsuga menziesii;pseudotsuga menziesii
spilostethus saxatilis;spilostethus saxatilis
ophidiidae;ophidiidae
neomysis integer;neomysis integer
ammalo trujillaria;ammalo trujillaria
graphium empedovana;graphium empedovana
euproctis cervina;euproctis cervina
echinorhynchus;echinorhynchus
synaleurodicus hakeae;synaleurodicus hakeae
ortharbela rufithorax;ortharbela rufithorax
athyma kasa;athyma kasa
cinnamomum micranthum;cinnamomum micranthum
athyma fortuna;athyma fortuna
schreckensteinia festaliella;schreckensteinia festaliella
microsebacina microbasidia;microsebacina microbasidia
candoia aspera;candoia aspera
pestalotiopsis versicolor;pestalotiopsis versicolor
phomopsis caulographa;phomopsis caulographa
meiogyne;meiogyne
erythrina gibbosa;erythrina gibbosa
diadegma majale;diadegma majale
wyliea mydas;wyliea mydas
helictotrichon;helictotrichon
limopsis lillei;limopsis lillei
spirontocaris spinus;spirontocaris spinus
crematogaster clara;crematogaster clara
carollia perspicillata;carollia perspicillata
alsophila pometaria;alsophila pometaria
ametastegia (protemphytus) tenera;ametastegia (protemphytus) tenera
nectria coryli;nectria coryli
cutina arcuata;cutina arcuata
psammothidium lauenburgianum;psammothidium lauenburgianum
neoclavaspis nudata;neoclavaspis nudata
diaporthopsis urticae;diaporthopsis urticae
gerlachea australis;gerlachea australis
ocnogyna;ocnogyna
rhamphosipyloidea;rhamphosipyloidea
carex riparia riparia;carex riparia riparia
bridelia insulana;bridelia insulana
